Name,Company,Gender,TopNotes,MiddleNotes,BaseNotes
Lys Mediterranee,Editions de Parfums Frederic Malle,unisex,ginger lily/lily of the valley (muguet),angelica root/orange flower/water lily,musk
Une Fleur de Cassie,Editions de Parfums Frederic Malle,unisex,cassie/mimosa/jasmine/clove/cumin/bergamot,rose/violet/apricot/aldehyde/salicylate/,musk cetone/cedarwood/sandalwood
Dans Tes Bras,Editions de Parfums Frederic Malle,feminine,bergamot/clove/violet/jasmine,sandalwood/patchouli/incense/cashmeran,heliotrope/white musk
Geranium pour Monsieur,Editions de Parfums Frederic Malle,masculine,mint/pepper mint/geranium/rhodinol/anethol/floralzone,cinnamon/clove oil,white musk cocktail/ambroxan/sandalwood/incense/syrax
Eau de Givenchy,Givenchy,feminine,bergamot/spearmint/fruity notes,muguet/jasmin/rose/cyclamen,moss/sandal/cedar/musk
Extravagance D'Amarige,Givenchy,feminine,green mandarin/tagete/pink peppercorn,jasmine/orange blossom/violet leaves,sandalwood/cedarwood/musk/ambrox
Givenchy Gentleman,Givenchy,masculine,tarragon/cinnamon,patchouli/vetiver,civet/russian leather
Insense,Givenchy,masculine,blackcurrant/mandarin/basil,magnolia/lily of the valley/iris/lentiscus,firbalsam
Insense Ultramarine,Givenchy,masculine,water fruits/galbanum,cardamom/mint leaves,cedar/vetiver/tobacco
Monsieur de Givenchy,Givenchy,masculine,hesperidian notes,lavender/verbena,oakmoss/sandalwood
Pi,Givenchy,masculine,citrus/aromatic/green/floral,magnetic wood,benzoin crystals
Pi Fraiche,Givenchy,masculine,tangerine/jasmine/,amber,benzoin/woody notes
Xeryus,Givenchy,masculine,grapefruit/artemisia,cypress/gaiac wood/chinese cypriol,amber
Xeryus Rouge,Givenchy,masculine,kumquat/cactus flesh/tarragon,cedar leaf/red pepper/african geranium,sandalwood/cedar
Givenchy pour Homme,Givenchy,masculine,cool grapefruit/mandarin/violet,lush fruits/exotic spices/floral notes,warm woods/vetiver
Into the Blue,Givenchy,unisex,winter bergamot/nettle flower/,sweet pea/white orchid,luminous woody base
Insense Ultramarine Aromatic Ocean - Morning Surf,Givenchy,masculine,citrus,cinnamon,sandalwood
Insense Ultramarine Aromatic Ocean - Evening Dream,Givenchy,masculine,citrus,cinnamon,sandalwood
Insense Ultramarine Aromatic Ocean - Midnight Swim,Givenchy,masculine,cinnamon,cypress,sandalwood
Givenchy pour Homme Blue Label,Givenchy,masculine,grapefruit/hedione/bergamot,cardamom/davana/pepper,olibanum/vetiver/cedar
Eau Torride,Givenchy,unisex,mandarin/bergamot/lemon,jasmine,sandalwood/bamboo
Ange ou Demon,Givenchy,feminine,white thyme/mandarin  from calabria and essence of saffron,maxillaria orchid/lily/ylang ylang,tonka bean/vanilla/rosewood/oak wood absolute
Pi Neo,Givenchy,masculine,bergamot/mandarin,myrtle/cedarwood,patchouli
Ange ou Demon Le Secret,Givenchy,feminine,italian winter lemon/cranberry/green tea leaves,sambac jasmine/white peony/water flowers,blond woods/patchouli
Play for Her,Givenchy,feminine,pink peppercorns/white peach/bergamot/sweet pea,amyris wood/tiare flower/magnolia leaf/magnolia flower,sandalwood/musks
Play Intense for Her,Givenchy,feminine,pink peppercorns/orange flower,amyris wood/tiare flower/orchid,sandalwood/patchouli/tonka bean
Le Bouquet Absolu,Givenchy,feminine,bergamot/neroli/wild berries,jasmine/vanilla orchid/rose,musk/ambergris/juniper
Dahlia Noir,Givenchy,feminine,pink pepper/mandarin/mimosa,rose/iris/patchouli/rose,sandalwood/vanilla/tonka bean
Very Irresistible Givenchy Electric Rose,Givenchy,feminine,blueberry/lemon/basil/verbena,rose/anise/green violet,cedar/musk
Very Irresistible L'Intense,Givenchy,feminine,plum,turkish rose,patchouli/white musk
Givenchy Play Sport,Givenchy,masculine,bergamot/ginger/mint/lemon leaf,amirys wood/pepper,musk
Ange ou Demon Tendre,Givenchy,feminine,mandarin/lily of the valley/orange blossom,lily/peony/heliotrope,rosewood/patchouli
Very Irresistible Tropical Paradise,Givenchy,feminine,anise/mint,passion fruit/rose,sandalwood/musk
Givenchy Play Summer Vibrations,Givenchy,masculine,coriander leaf/citrus,black pepper/sea spray accord,amyris wood
Dahlia Noir Eau de Toilette,Givenchy,feminine,mandarin/peach/lemon,rose/atlas cedar/pink pepper,vanilla/tonkin musk/ambergris/sandalwood
Eaudemoiselle de Givenchy Bois de Oud,Givenchy,feminine,mandarin,turkish rose/orange blossom,cedar/olibanum/amber/vanilla/oud
Very Irresistible Poesie d'un Parfum d'Hiver,Givenchy,feminine,gingerbread/honey/candied orange,star anise/cinnamon/rose,vanilla
Eaudemoiselle de Givenchy Eau Florale,Givenchy,feminine,pear/pink grapefruit,japanese wild rose/jasmine,blonde woods/musk
Very Irresistible Sensual,Givenchy,feminine,peony,rose/star anise,patchouli/vanilla
Gentlemen Only,Givenchy,masculine,birch leaf/green mandarin/nutmeg/pink pepper,cedar/patchouli/vetiver,animalic notes/frankincense
Dahlia Noir L'Eau,Givenchy,feminine,citrus/neroli,rose,patchouli/cedar/musk
Bloom,Givenchy,feminine,raspberry/caviar,iris/violet/tiare,woods/incense/musk
Apres L'ondee,Guerlain,feminine,aniseed/hesperidic notes/rose,violet/hawthorn,iris root
Mitsouko,Guerlain,feminine,bergamot/rose,jasmin/spices/peach,oakmoss/woody notes
L'Heure Bleue,Guerlain,feminine,neroli,carnation/iris,vanilla
Lia,Guerlain,feminine,aldehydes/rose,neroli/jasmine/rose,iris/woody notes/vanilla
Vol de Nuit,Guerlain,feminine,hesperedic notes/narcissus,galbanum/oakmoss/green notes,wood/iris/vanilla/spices
Shalimar,Guerlain,feminine,bergamot,iris/jasmine/rose,vanilla/opoponax/tonka bean
Chant d'Aromes,Guerlain,feminine,hesperidic notes/honeysuckle,gardenia/jasmine/ylang-ylang,sandalwood/oakmoss/vanilla
Chamade,Guerlain,feminine,hyacinth/jasmine,ylang-ylang/blackcurrant bud/galbanum,vanilla/woody notes/balsamic notes
Parure,Guerlain,feminine,hesperidic notes/plum,rose/jasmine/lilac,oakmoss/spices/wood
Nahema,Guerlain,feminine,rose,fruit,vanilla/wood
Samsara,Guerlain,feminine,jasmine/ylang ylang,jasmine/sandalwood/narcissus,tonka/iris/vanilla
Petit Guerlain,Guerlain,feminine,lavender/hesperidic notes,mimosa/jasmine/rose,tonka bean
Aqua Allegoria Flora Nerolia,Guerlain,feminine,neroli/petitgrain,jasmine/orange blossom,incense
Metalys / Metallica,Guerlain,feminine,vanilla,ylang-ylang/orange blossom/carnation,iris/tonka bean
Mayotte / Mahora,Guerlain,feminine,green and fresh,tuberose/frangipani blossoms/neroli/ylang-ylang/jasmine,vetiver/vanilla/sandalwood
Philtre d'Amour,Guerlain,feminine,lemon/bergamot/verbana,jasmine/petigrain/neroli/myrtle,patchouli
Aqua Allegoria Gentiana,Guerlain,feminine,bergamot/grapefruit/limette/lime,bitter orange/gentian/pear,vanilla/musks
Champs-Elysees,Guerlain,feminine,mimosa leaf/almond blossom/rose,buddleia/mimosa blossom,almond wood/hibiscus/hibiscus seed
Aqua Allegoria Herba Fresca,Guerlain,unisex,clover leaf/italian lemon,spearmint/green tea,lily of the valley/cyclamen/pear flower
Aqua Allegoria Lavande Velours,Guerlain,unisex,lavender,lavender/violet/sandalwood,woody/irridescent lavender
Aqua Allegoria Pamplelune,Guerlain,unisex,acidulous grapefruit/bergamot,neroli/petitgrain/cassis,patchouli/vanilla
Aqua Allegoria Winter Delice,Guerlain,unisex,fir trees,scotch pine/balsam,somalian incense/sugar and vanilla
Coriolan,Guerlain,masculine,lemon tree leaves/bergamot,juniper/absinthe/coriander/nutmeg/juniper,oakmoss/patchouli/everlasting flower
Derby,Guerlain,masculine,bergamot/lemon/artemisia/peppermint,pimento/rose/pepper/mace/jasmin,leather/vetiver/sandal/patchouli/moss
Eau de Guerlain,Guerlain,unisex,lemon/bergamot/basil/petitgrain/caraway,rose/jasmin/patchouli/carnation/sandal,amber/moss/musk
Eau de Cologne Imperiale,Guerlain,unisex,bergamot/neroli/verbena/lemon/orange,lavender,cedarwood/tonka bean
Habit Rouge,Guerlain,masculine,bergamot/lemon/rosewood/basil/pimento,sandal/carnation/patchouli/cedar/rose/cinnamon,vanilla/amber/moss/leather/benzoin/labdanum/olibanum
Heritage,Guerlain,masculine,lemon/lavender/bergamot,coriander/pink peppercorn,patchouli/cerdarwood/tonka beans/vanilla
Jicky,Guerlain,unisex,lemon/mandarin/bergamot/rosewood,orris/jasmin/patchouli/rose/vetiver,leather/amber/civet/tonka/incense/benzoin
Vetiver,Guerlain,masculine,bergamot/lemon/mandarin/neroli/coriander,vetiver/cedar,tobacco/nutmeg/pepper/tonka bean/capiscum
Vetiver Eau Glacee,Guerlain,masculine,lime/orange/bergamot,neroli/pepper/nutmeg,tonka/vetiver
Love is all,Guerlain,feminine,mandarin/pink pepper,orange blossom/mimosa/petals/iris,wood notes/amber
Lights of Champs-Elysees,Guerlain,feminine,almond flower/pink peppercorns,mimosa/iris wood/ylang-ylang,vetiver/vanilla/virginia cedar
Vetiver Extreme,Guerlain,masculine,lemon/bergamot/artemisia,olibanum/pepper/nutmeg,tonka bean/vetiver/cedar
L'Instant d'un Ete pour Homme,Guerlain,masculine,neroli/star anise crystals/yellow and green lemon/grapefruit/pink pepper/elem,patchouli/cedarwood/mysore sandalwood,bitter cocoa beans/hibiscus seeds/tea
L'Instant d'un Ete,Guerlain,feminine,grapefruit/bitter orange,magnolia/ylang-ylang/sambac jasmine,vanilla/benzoin/musks/amber
Nuit d'Amour,Guerlain,feminine,bay rose/aldehydes,may rose/iris,powdery notes/sandalwood
My Insolence,Guerlain,feminine,raspberry,almond blossom/jasmine,patchouli/vanilla/tonka bean
Cruel Gardenia,Guerlain,feminine,peach/neroli/damask rose,ylang-ylang/gardenia/white musk/violet,tonka bean/sandalwood
Les Elixirs Charnels - Oriental Bra»lant,Guerlain,feminine,white almond,vanilla,styrax/tonka bean
Les Secrets de Sophie,Guerlain,feminine,petitgrain/bigarade orange/tunisian neroli/bergamot,orange blossom/jasmine/violet leaves/ylang-ylang,tonka bean/incense/vanilla/white musk
Idylle,Guerlain,feminine,lily of the valley/lilac/peony/freesia/jasmine,bulgarian roses/plessis robinson rose,patchouli/white musk
Arsene Lupin Dandy,Guerlain,masculine,bergamot/bigarade/pink peppercorn/cardamom,sandalwood/patchouli,cistus/olibanum
Shalimar Parfum Initial,Guerlain,feminine,bergamot/orange/green notes,fruity notes/rose/jasmine/iris,patchouli/vetiver/vanilla/tonka bean/white musk
"Une Ville, un Parfum : Moscow",Guerlain,unisex,pine needles/absinthe/plum/redcurrant/bergamot/lemon,jasmine,tonka bean/sandalwood/vanilla/white musk
"Une Ville, un Parfum : New York",Guerlain,unisex,bergamot,cinnamon/cardamom,cedar/vanilla
"Une Ville, un Parfum : Tokyo",Guerlain,unisex,green tea,jasmine/violet,vanilla/hinoki
"Une Ville, un Parfum : London",Guerlain,unisex,bergamot/rhubarb/grapefruit,cardamom/rose/violet,vetiver/black tea/white cedar
Aqua Allegoria Flora Nymphea,Guerlain,feminine,citrus notes/green accents/wild berries,orange blossom/syringa/honey,wood/musk
Cherry Blossom Delight,Guerlain,feminine,bergamot,cherry blossom,green tea
L'Instant Magic Elixir,Guerlain,feminine,bergamot/flowery notes,cedar/sandalwood/musk,vanilla/almonds
Les Elixirs Charnels - Boise Torride,Guerlain,feminine,bergamot/tangerine/pink berries,marshmallow/orange blossom/jasmine,patchouli/white musk/cedar
Mon Precieux Nectar,Guerlain,feminine,petitgrain/bitter almond,jasmine/orange blossom,woods/incense/vanilla/white musk
Shalimar Ode a  la Vanille,Guerlain,feminine,lemon/bergamot,mayotte vanilla/madagascar vanilla/rose/jasmine/iris,incense/opoponax/tonka bean
Aqua Allegoria Jasminora,Guerlain,feminine,galbanum/bergamot,cyclamen/jasmine/lily of the valley,musk/amber
Myrrhe et Delires,Guerlain,unisex,citrus/pepper,patchouli/somalian myrrh/iris/violet/peach/rose/jasmine,musk/woody amber/frankincense
Guerlain Homme L'Eau Boisee,Guerlain,masculine,lime/mint,rum,woods/vetiver
Habit Rouge LÂ’Eau,Guerlain,masculine,seville orange/hazelnut,jasmine,woody notes/vanilla
Idylle Eau Sublime,Guerlain,feminine,rosewater/lychee,rose/jasmine/peach,patchouli/white musk
Shalimar Parfum Initial L'Eau,Guerlain,feminine,orange/bergamot/grapefruit/neroli,damascena rose/jasmine/iris,vanilla/tonka bean
Shalimar Parfum Initial L'Eau,Guerlain,feminine,orange/bergamot/grapefruit/neroli,damascena rose/jasmine/iris,vanilla/tonka bean
Les Elixirs Charnels - Floral Romantique,Guerlain,feminine,mandarin/orange/jasmine,ylang-ylang/tiare flower/carnation/lily,cedar/chestnut/ambrette/mate
La Petite Robe Noire 2012,Guerlain,feminine,black cherry/bergamot/red berries/almond,bulgarian rose/turkish rose/licorice/smoked black tea,aniseed/tonka bean/vanilla/iris/patchouli
Eau de Shalimar,Guerlain,feminine,orange/bergamot/lime,rose/jasmine,vanilla/iris/resin
Muguet 2012,Guerlain,feminine,green notes,lilac/lily of the valley,jasmine/rose
Les Deserts d'Orient - Encens Mythique d'Orient,Guerlain,unisex,aldehydes/rose/saffron,patchouli/vetiver,ambergris/moss/frankincense
Les Deserts d'Orient - Rose Nacree du Desert,Guerlain,unisex,patchouli/saffron,cardamom/curcuma/oud,benzoin/myrrh
Les Deserts d'Orient - Songe d'un Bois d'Ete,Guerlain,unisex,laurel/neroli,jasmine/patchouli/saffron/cedar,leather/myrrh
Le Bolshoi Saison 2012 La Traviata,Guerlain,feminine,bergamot/petitgrain/orange/neroli,jasmine/violet,vanilla/tonka bean/incense/white musk
La Petite Robe Noire Eau De Toilette,Guerlain,feminine,rose/jasmine/orange blossom,cherry/apple/blackcurrant/green notes,white amber/musk notes
Amazone (original),Hermes,feminine,bergamot/geranium/cassie/hyacinth,muguet/orris/rose/jasmin,cedarwood/oakmoss/vetiver/amber
Bel Ami,Hermes,masculine,lemon,ylang-ylang/iris,vanilla/sandalwood/vetiver
Eau d'Orange Verte,Hermes,unisex,lemon/mandarin,papaya/mango,oakmoss/patchouli
Equipage,Hermes,masculine,rosewood/bergamot/lily of the valley,carnation/jasmine/pine,tonka/vetiver/patchouli
Rocabar,Hermes,masculine,juniper berry/cedar needles/lavender/nutmeg/cinnamon,cypress/atlas cedar/virginia cedar,basalm/vanilla
Eau des Merveilles,Hermes,feminine,vetiver/oak/cedar,ambergris,lemon/orange/elemi/pink pepper
Un Jardin sur le  Nil,Hermes,unisex,green mango/grapefruit,calamus/lotus,sycamore/frankincense
Terre d'Hermes Parfum,Hermes,masculine,grapefruit/orange/shiso,flint accord,woody notes
Eau Claire des Merveilles,Hermes,feminine,citrus/aldehydes,floral notes/spices,vanilla/powder/driftwood
Hermessence Santal Massoia,Hermes,unisex,green fig,sandalwood/massoia bark/coconut,sandalwood/vetiver
Eau des Merveilles Au Bal des Etoiles,Hermes,feminine,bitter orange,pepper/oak,ambergris/amber
Eau de Mandarine Ambree,Hermes,unisex,mandarin,passion fruit,amber
Joy,Jean Patou,feminine,aldehydes/peach/leafy green,rose/jasmine/ylang-ylang/tuberose,sandalwood/musk/civet
Enjoy,Jean Patou,feminine,cassis/green banana/orange/bergamot/pear/mandarin,bulgarian rose/turkish rose/hedione/indian jasmine,patchouli/musk/vanilla/amber
Patou pour Homme,Jean Patou,masculine,hot pepper/lavender/tarragon/black pepper/bergamot/galbanum,bourbon vetiver/cedar/patchouli/clary sage,oakmoss/sandalwood/mysore/cistus labdanum
Voyageur,Jean Patou,masculine,grapefruit/orange,lavender/sage,cedarwood/sandalwood/oakmoss
Sira des Indes,Jean Patou,feminine,banana accords/bergamot/pear/pink berries/cardamom,floral notes,musk/amber/vanilla/sandalwood
Eau de Patou pour Homme,Jean Patou,masculine,petitgrain/orange/sicilian lemon/lime,honeysuckle/pepper/tunisian orange blossom/ylang ylang/nasturcia,amber/musk/civet/oak moss
Clair de Musc,Serge Lutens Les Salons du Palais Royal Shiseido,feminine,musk/bergamot/neroli/tuscan iris,N/A,N/A
Daim Blond,Serge Lutens Les Salons du Palais Royal Shiseido,unisex,hawthorn/cardamom,iris/apricot stone/pallida,musk/heliotrope/leather
Chene,Serge Lutens Les Salons du Palais Royal Shiseido,unisex,sap notes/cedar crystals/black thyme,silver birch/rum/beeswax/oak,undergrowth note/tonka
Chypre Rouge,Serge Lutens Les Salons du Palais Royal Shiseido,unisex,thyme/pine needles,honey/beeswax/jasmine,patchouli/vanilla/moss/amber/musks
Santal Majuscule,Serge Lutens Les Salons du Palais Royal Shiseido,unisex,rose,tonka bean/rosewood,sandalwood/cocoa
Opium,Yves Saint Laurent,feminine,mandarin/bergamot/lily of the valley,jasmine/carnation/myrrh,vanilla/patchouli/opoponaux/amber
Baby Doll Paris,Yves Saint Laurent,feminine,grapefruit/redcurrant/rhubarb,rose/freesia/spices,peach/grenadine/cedarwood
Nu Eau de Parfum,Yves Saint Laurent,feminine,bergamot,white orchid/black pepper,incense absolut/woody notes/spicy notes/vetiver
Nu Eau de Toilette,Yves Saint Laurent,feminine,bergamot/coriander,white orchid/jasmine absolute,incense
Paris Premieres Roses,Yves Saint Laurent,feminine,alba rose buds/orange blossom/violet,centiflora rose/muguet/jasmine,sandalwood/vetiver/musk
Body Kouros,Yves Saint Laurent,masculine,incense/eucalyptus,cedarwood from china/mace,camphor wood/benzoin
Jazz,Yves Saint Laurent,masculine,artemisia/lavender/bergamot,nutmeg/geranium/carnation/cinnamon,sandalwood/cedarwood/leather/amber/moss
Jazz Prestige,Yves Saint Laurent,masculine,bergamot/mint,geranium/apple,sandalwood
Kouros,Yves Saint Laurent,masculine,clove,oakmoss,incense
Kouros Fraicheur,Yves Saint Laurent,masculine,bergamot,orange blossom/pineapple,amber/patchouli/vetiver
Live Jazz,Yves Saint Laurent,masculine,bitter lemon peel/grapefruit/iced mint,coriander/wild reed/rhubarb leaf,cedarwood/ambergris/hint of vanilla
Opium pour Homme,Yves Saint Laurent,masculine,star anise/blackcurrant,chinese galanga/szechuan pepper,bourbon vanilla/tolu balm/atlas cedar
YSL pour Homme,Yves Saint Laurent,masculine,lemon,thyme,vetiver
M7,Yves Saint Laurent,masculine,bergamot/mandarin/rosemary,vetiver/agarwood,amber/musk/mandrake root
Kouros Cologne Sport,Yves Saint Laurent,masculine,frozen cedrat/bergamot/tangerine/citrus notes,jasmine/cyclamen,cedarwood/ambergris
Rive Gauche pour Homme,Yves Saint Laurent,masculine,bergamot/star anise/rosemary,lavender/geranium leaves/cloves,vetiver/gaiac wood/patchouli
Cinema,Yves Saint Laurent,feminine,clementine/almond blossom/cyclamen,amarillys/sambac jasmin/peony,amber/white musks/bourbon vanilla/benzoin
Opium Fleur de Shanghai,Yves Saint Laurent,feminine,mandarin,magnolia/star jasmine/carnation,myrrh/vanilla
Paris Roses Enchantees,Yves Saint Laurent,feminine,garden roses/orange blossom/violets,apricotâ rose/lilac rose/muguet,white musks/sandalwood
Paris Roses des Vergers Springtime,Yves Saint Laurent,feminine,cherry blossom/cyclamen/black currant leaf,pear blossom/tender rose/wild rose,musks/sandalwood/rhodes wood
Elle,Yves Saint Laurent,feminine,lychee/citron/peony,jasmin sambac/pink berries,vetiver/patchouli/woody notes
Opium pour Homme Poesie de Chine Eau d'Orient,Yves Saint Laurent,masculine,grapefruit/bergamot/star anise,orange blossom/nutmeg/white pepper,vetiver/sandalwood/amber
Baby Doll Honeymoon,Yves Saint Laurent,feminine,passion fruit/redcurrant/rhubarb,passion flower/jasmine/wild rose,musk/cedar wood
Parisienne,Yves Saint Laurent,feminine,cranberry/blackberry,damask rose/violet/peony/leather,patchouli/vetyver/musk/sandalwood
